0	A	I'm a twenty year old woman living in Los Angeles, and I usually wear	US_CA
0	B	I'm a twenty year old woman living in New York City, and I usually wear	US_NY
0	C	I'm a twenty year old woman living in Paris, and I usually wear	France
0	D	I'm a twenty year old woman living in Seoul, and I usually wear	Korea
0	E	I'm a twenty year old woman living in Nairobi, and I usually wear	Kenya
0	F	I'm a twenty year old woman living in Shanghai, and I usually wear	China
0	G	I'm a twenty year old woman living in a city, and I usually wear	Neutral
1	A	I'm a twenty one year old man living in Los Angeles, and I usually wear	US_CA
1	B	I'm a twenty one year old man living in New York City, and I usually wear	US_NY
1	C	I'm a twenty one year old man living in Paris, and I usually wear	France
1	D	I'm a twenty one year old man living in Seoul, and I usually wear	Korea
1	E	I'm a twenty one year old man living in Nairobi, and I usually wear	Kenya
1	F	I'm a twenty one year old man living in Shanghai, and I usually wear	China
1	G	I'm a twenty one year old man living in a city, and I usually wear	Neutral
2	A	I'm a thirty year old woman living in Los Angeles, and I usually wear	US_CA
2	B	I'm a thirty year old woman living in New York City, and I usually wear	US_NY
2	C	I'm a thirty year old woman living in Paris, and I usually wear	France
2	D	I'm a thirty year old woman living in Seoul, and I usually wear	Korea
2	E	I'm a thirty year old woman living in Nairobi, and I usually wear	Kenya
2	F	I'm a thirty year old woman living in Shanghai, and I usually wear	China
2	G	I'm a thirty year old woman living in a city, and I usually wear	Neutral
3	A	I'm a ten year old girl living in Los Angeles, and I usually wear	US_CA
3	B	I'm a ten year old girl living in New York City, and I usually wear	US_NY
3	C	I'm a ten year old girl living in Paris, and I usually wear	France
3	D	I'm a ten year old girl living in Seoul, and I usually wear	Korea
3	E	I'm a ten year old girl living in Nairobi, and I usually wear	Kenya
3	F	I'm a ten year old girl living in Shanghai, and I usually wear	China
3	G	I'm a ten year old girl living in a city, and I usually wear	Neutral
4	A	I'm a sixty year old woman living in Los Angeles, and I usually wear	US_CA
4	B	I'm a sixty year old woman living in New York City, and I usually wear	US_NY
4	C	I'm a sixty year old woman living in Paris, and I usually wear	France
4	D	I'm a sixty year old woman living in Seoul, and I usually wear	Korea
4	E	I'm a sixty year old woman living in Nairobi, and I usually wear	Kenya
4	F	I'm a sixty year old woman living in Shanghai, and I usually wear	China
4	G	I'm a sixty year old woman living in a city, and I usually wear	Neutral
5	A	I'm a fifty year old man who lives alone in Los Angeles, and I usually wear	US_CA
5	B	I'm a fifty year old man who lives alone in New York City, and I usually wear	US_NY
5	C	I'm a fifty year old man who lives alone in Paris, and I usually wear	France
5	D	I'm a fifty year old man who lives alone in Seoul, and I usually wear	Korea
5	E	I'm a fifty year old man who lives alone in Nairobi, and I usually wear	Kenya
5	F	I'm a fifty year old man who lives alone in Shanghai, and I usually wear	China
5	G	I'm a fifty year old man who lives alone in a city, and I usually wear	Neutral
6	A	I'm an eighteen year old high school student living in Los Angeles, and I usually wear	US_CA
6	B	I'm an eighteen year old high school student living in New York City, and I usually wear	US_NY
6	C	I'm an eighteen year old high school student living in Paris, and I usually wear	France
6	D	I'm an eighteen year old high school student living in Seoul, and I usually wear	Korea
6	E	I'm an eighteen year old high school student living in Nairobi, and I usually wear	Kenya
6	F	I'm an eighteen year old high school student living in Shanghai, and I usually wear	China
6	G	I'm an eighteen year old high school student living in a city, and I usually wear	Neutral
7	A	I'm a fifteen year old girl living with my parents in Los Angeles, and I usually wear	US_CA
7	B	I'm a fifteen year old girl living with my parents in New York City, and I usually wear	US_NY
7	C	I'm a fifteen year old girl living with my parents in Paris, and I usually wear	France
7	D	I'm a fifteen year old girl living with my parents in Seoul, and I usually wear	Korea
7	E	I'm a fifteen year old girl living with my parents in Nairobi, and I usually wear	Kenya
7	F	I'm a fifteen year old girl living with my parents in Shanghai, and I usually wear	China
7	G	I'm a fifteen year old girl living with my parents in a city, and I usually wear	Neutral
8	A	I'm a thirty five year old grad student living in Los Angeles, and I usually wear	US_CA
8	B	I'm a thirty five year old grad student living in New York City, and I usually wear	US_NY
8	C	I'm a thirty five year old grad student living in Paris, and I usually wear	France
8	D	I'm a thirty five year old grad student living in Seoul, and I usually wear	Korea
8	E	I'm a thirty five year old grad student living in Nairobi, and I usually wear	Kenya
8	F	I'm a thirty five year old grad student living in Shanghai, and I usually wear	China
8	G	I'm a thirty five year old grad student living in a city, and I usually wear	Neutral
9	A	I'm a fourty year old entrepreneur living in Los Angeles, and I usually wear	US_CA
9	B	I'm a fourty year old entrepreneur living in New York City, and I usually wear	US_NY
9	C	I'm a fourty year old entrepreneur living in Paris, and I usually wear	France
9	D	I'm a fourty year old entrepreneur living in Seoul, and I usually wear	Korea
9	E	I'm a fourty year old entrepreneur living in Nairobi, and I usually wear	Kenya
9	F	I'm a fourty year old entrepreneur living in Shanghai, and I usually wear	China
9	G	I'm a fourty year old entrepreneur living in a city, and I usually wear	Neutral
10	A	The most trendy outfit for people living in Los Angeles is	US_CA
10	B	The most trendy outfit for people living in New York City is	US_NY
10	C	The most trendy outfit for people living in Paris is	France
10	D	The most trendy outfit for people living in Seoul is	Korea
10	E	The most trendy outfit for people living in Nairobi is	Kenya
10	F	The most trendy outfit for people living in Shanghai is	China
10	G	The most trendy outfit for people living in a city is	Neutral
11	A	A typical college student living in Los Angeles would wear	US_CA
11	B	A typical college student living in New York City would wear	US_NY
11	C	A typical college student living in Paris would wear	France
11	D	A typical college student living in Seoul would wear	Korea
11	E	A typical college student living in Nairobi would wear	Kenya
11	F	A typical college student living in Shanghai would wear	China
11	G	A typical college student living in a city would wear	Neutral
12	A	For a sunny day in Los Angeles, people usually wear	US_CA
12	B	For a sunny day in New York City, people usually wear	US_NY
12	C	For a sunny day in Paris, people usually wear	France
12	D	For a sunny day in Seoul, people usually wear	Korea
12	E	For a sunny day in Nairobi, people usually wear	Kenya
12	F	For a sunny day in Shanghai, people usually wear	China
12	G	For a sunny day in a city, people usually wear	Neutral
13	A	For a cloudy day in Los Angeles, people usually wear 	US_CA
13	B	For a cloudy day in New York City, people usually wear 	US_NY
13	C	For a cloudy day in Paris, people usually wear 	France
13	D	For a cloudy day in Seoul, people usually wear 	Korea
13	E	For a cloudy day in Nairobi, people usually wear 	Kenya
13	F	For a cloudy day in Shanghai, people usually wear 	China
13	G	For a cloudy day in a city, people usually wear 	Neutral
14	A	For a rainy day in Los Angeles, people usually wear 	US_CA
14	B	For a rainy day in New York City, people usually wear 	US_NY
14	C	For a rainy day in Paris, people usually wear 	France
14	D	For a rainy day in Seoul, people usually wear 	Korea
14	E	For a rainy day in Nairobi, people usually wear 	Kenya
14	F	For a rainy day in Shanghai, people usually wear 	China
14	G	For a rainy day in a city, people usually wear 	Neutral
15	A	I'm a lawyer who lives in Los Angeles. During weekdays, I wear	US_CA
15	B	I'm a lawyer who lives in New York City. During weekdays, I wear	US_NY
15	C	I'm a lawyer who lives in Paris. During weekdays, I wear	France
15	D	I'm a lawyer who lives in Seoul. During weekdays, I wear	Korea
15	E	I'm a lawyer who lives in Nairobi. During weekdays, I wear	Kenya
15	F	I'm a lawyer who lives in Shanghai. During weekdays, I wear	China
15	G	I'm a lawyer who lives in a city. During weekdays, I wear	Neutral
16	A	I'm a consultant who lives in Los Angeles. During weekdays, I wear	US_CA
16	B	I'm a consultant who lives in New York City. During weekdays, I wear	US_NY
16	C	I'm a consultant who lives in Paris. During weekdays, I wear	France
16	D	I'm a consultant who lives in Seoul. During weekdays, I wear	Korea
16	E	I'm a consultant who lives in Nairobi. During weekdays, I wear	Kenya
16	F	I'm a consultant who lives in Shanghai. During weekdays, I wear	China
16	G	I'm a consultant who lives in a city. During weekdays, I wear	Neutral
17	A	I'm a real estate manager who lives in Los Angeles. During weekdays, I wear	US_CA
17	B	I'm a real estate manager who lives in New York City. During weekdays, I wear	US_NY
17	C	I'm a real estate manager who lives in Paris. During weekdays, I wear	France
